timestamp,UserID,offer_id,event_type,tags
2025-01-30T00:11:00,768805383,offer_04,accept,"loan,personal,quick_disbursal"
2025-03-09T02:05:00,818770008,offer_01,accept,"cashback,savings,digital"
2025-02-12T09:35:00,818770008,offer_05,click,"education,onboarding,starter"
2025-02-08T01:26:00,713982108,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-27T20:41:00,713982108,offer_02,accept,"travel,rewards,credit_card"
2025-01-22T18:48:00,769911858,offer_01,accept,"cashback,savings,digital"
2025-03-09T03:21:00,769911858,offer_05,accept,"education,onboarding,starter"
2025-02-17T04:51:00,709106358,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-15T09:56:00,709106358,offer_02,accept,"travel,rewards,credit_card"
2025-01-04T19:56:00,713061558,offer_04,click,"loan,personal,quick_disbursal"
2025-02-28T17:32:00,713061558,offer_02,accept,"travel,rewards,credit_card"
2025-01-30T11:19:00,810347208,offer_02,accept,"travel,rewards,credit_card"
2025-02-26T22:02:00,810347208,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-13T19:10:00,818906208,offer_02,click,"travel,rewards,credit_card"
2025-01-20T19:22:00,818906208,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-10T05:10:00,710930508,offer_04,click,"loan,personal,quick_disbursal"
2025-02-28T05:26:00,710930508,offer_02,accept,"travel,rewards,credit_card"
2025-02-01T14:54:00,719661558,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-04T04:40:00,719661558,offer_02,click,"travel,rewards,credit_card"
2025-01-24T13:22:00,708790833,offer_02,accept,"travel,rewards,credit_card"
2025-01-28T09:14:00,710821833,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-22T02:46:00,710821833,offer_02,accept,"travel,rewards,credit_card"
2025-03-04T09:31:00,710599683,offer_04,click,"loan,personal,quick_disbursal"
2025-02-08T21:59:00,710599683,offer_02,accept,"travel,rewards,credit_card"
2025-03-04T19:34:00,816082233,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-01T05:53:00,712396908,offer_05,accept,"education,onboarding,starter"
2025-02-03T14:20:00,714885258,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-28T06:26:00,714885258,offer_02,accept,"travel,rewards,credit_card"
2025-03-03T14:41:00,709967358,offer_02,click,"travel,rewards,credit_card"
2025-02-09T17:49:00,753327333,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-21T02:21:00,806160108,offer_02,click,"travel,rewards,credit_card"
2025-02-11T14:04:00,806160108,offer_04,click,"loan,personal,quick_disbursal"
2025-01-02T17:39:00,709327383,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-03T14:30:00,806165208,offer_02,accept,"travel,rewards,credit_card"
2025-01-16T13:31:00,806165208,offer_04,accept,"loan,personal,quick_disbursal"
2025-02-14T04:40:00,708508758,offer_05,accept,"education,onboarding,starter"
2025-02-15T18:55:00,784725333,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-05T16:10:00,784725333,offer_02,accept,"travel,rewards,credit_card"
2025-01-14T04:02:00,811604133,offer_05,accept,"education,onboarding,starter"
2025-01-03T13:27:00,789124683,offer_02,accept,"travel,rewards,credit_card"
2025-01-25T18:58:00,771071958,offer_05,accept,"education,onboarding,starter"
2025-01-29T05:22:00,771071958,offer_01,accept,"cashback,savings,digital"
2025-01-01T05:44:00,720466383,offer_04,click,"loan,personal,quick_disbursal"
2025-01-28T06:42:00,804424383,offer_02,accept,"travel,rewards,credit_card"
2025-01-17T13:07:00,804424383,offer_04,accept,"loan,personal,quick_disbursal"
2025-03-08T16:57:00,718813833,offer_04,click,"loan,personal,quick_disbursal"
2025-02-05T01:03:00,806624208,offer_04,click,"loan,personal,quick_disbursal"
2025-03-05T14:45:00,778348233,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-31T17:15:00,712991808,offer_04,click,"loan,personal,quick_disbursal"
2025-01-16T12:54:00,712991808,offer_02,accept,"travel,rewards,credit_card"
2025-01-17T14:59:00,709029408,offer_04,click,"loan,personal,quick_disbursal"
2025-01-29T08:42:00,788658483,offer_05,accept,"education,onboarding,starter"
2025-02-17T03:16:00,788658483,offer_01,accept,"cashback,savings,digital"
2025-02-14T23:47:00,787937058,offer_02,click,"travel,rewards,credit_card"
2025-01-04T21:35:00,787937058,offer_04,accept,"loan,personal,quick_disbursal"
2025-01-30T01:19:00,715318008,offer_05,click,"education,onboarding,starter"
2025-01-18T22:24:00,715318008,offer_01,accept,"cashback,savings,digital"
